app_id,name,version,vendor,dependencies,policy_id,name,description,requirements,os_id,name,version,vendor
1,App1,1.0,VendorA,["LibX", "LibY"],1,"Policy A","Compliance policy for App1",["Requirement 1", "Requirement 2"],1,"Windows Server",2019,"Microsoft"
2,App2,2.0,VendorB,["LibZ", "LibW"],1,"Policy A","Compliance policy for App1",["Requirement 1", "Requirement 2"],2,"Ubuntu",22.04,"Canonical"
3,App3,1.5,VendorA,["LibX", "LibZ"],2,"Policy B","Compliance policy for App2 and App3",["Requirement 3", "Requirement 4"],1,"Windows Server",2022,"Microsoft"
4,App4,3.0,VendorC,["LibY", "LibW"],2,"Policy B","Compliance policy for App2 and App3",["Requirement 3", "Requirement 4"],3,"Red Hat Enterprise Linux",8,"Red Hat"
5,App5,1.2,VendorB,["LibX", "LibY"],3,"Policy C","Compliance policy for App5",["Requirement 5", "Requirement 6"],2,"Ubuntu",20.04,"Canonical"
6,App6,2.5,VendorC,["LibZ", "LibW"],3,"Policy C","Compliance policy for App5",["Requirement 5", "Requirement 6"],4,"CentOS",7,"Red Hat"
7,App7,1.1,VendorA,["LibX", "LibY"],4,"Policy D","Compliance policy for App7 and App8",["Requirement 7", "Requirement 8"],1,"Windows Server",2016,"Microsoft"
8,App8,2.2,VendorB,["LibZ", "LibW"],4,"Policy D","Compliance policy for App7 and App8",["Requirement 7", "Requirement 8"],5,"macOS",12,"Apple"
9,App9,3.5,VendorC,["LibY", "LibX"],5,"Policy E","Compliance policy for App9",["Requirement 9", "Requirement 10"],3,"Red Hat Enterprise Linux",9,"Red Hat"
10,App10,1.8,VendorA,["LibZ", "LibW"],5,"Policy E","Compliance policy for App9",["Requirement 9", "Requirement 10"],6,"Debian",11,"Debian"
11,App11,2.1,VendorB,["LibX", "LibY"],6,"Policy F","Compliance policy for App11 and App12",["Requirement 11", "Requirement 12"],2,"Ubuntu",18.04,"Canonical"
12,App12,3.2,VendorC,["LibZ", "LibW"],6,"Policy F","Compliance policy for App11 and App12",["Requirement 11", "Requirement 12"],7,"SUSE Linux Enterprise Server",15,"SUSE"
13,App13,1.6,VendorA,["LibX", "LibZ"],7,"Policy G","Compliance policy for App13",["Requirement 13", "Requirement 14"],8,"Oracle Linux",7,"Oracle"
14,App14,2.8,VendorB,["LibY", "LibW"],7,"Policy G","Compliance policy for App13",["Requirement 13", "Requirement 14"],9,"Amazon Linux",2,"Amazon"
